method,checkpoint,trained_games,starts,elo,error,gain,gain_error
clop,0,0,1,-151.35,63.49,0.0,0.0
clop,50,50,1,-99.95,62.72,51.39999999999999,71.90101111078458
clop,100,100,1,-143.07,65.25,8.280000000000001,77.56886406981072
clop,200,200,1,-164.07,65.9,-12.719999999999999,80.74524355624122
ctt-mes,0,0,1,-151.35,63.49,0.0,0.0
ctt-mes,50,50,1,-288.06,83.56,-136.71,100.55895998368224
ctt-mes,100,100,1,-85.04,64.78,66.30999999999999,103.65965696845639
ctt-mes,200,200,1,-92.46,65.09,58.89,83.26395271869455
logistic-gp,0,0,1,-151.35,63.49,0.0,0.0
logistic-gp,50,50,1,-205.04,73.41,-53.69,97.4191007462787
logistic-gp,100,100,1,-177.22,68.54,-25.870000000000005,105.403992388325
logistic-gp,200,200,1,-186.25,67.92,-34.900000000000006,86.20281170108792
maximin,0,0,1,-151.35,63.49,0.0,0.0
maximin,50,50,1,-134.95,67.82,16.400000000000006,88.75618717811484
maximin,100,100,1,-66.82,63.72999999999999,84.53,86.22682270825966
maximin,200,200,1,-164.07,67.06,-12.719999999999999,100.47727709498898
rbfopt,0,0,1,-151.35,63.49,0.0,0.0
rbfopt,50,50,1,-134.95,63.769999999999996,16.400000000000006,90.22899249056134
rbfopt,100,100,1,-134.95,63.769999999999996,16.400000000000006,90.22899249056134
rbfopt,200,194,1,-134.95,63.769999999999996,16.400000000000006,90.22899249056134
spsa,0,0,1,-151.35,63.49,0.0,0.0
spsa,50,50,1,-115.23,65.26,36.11999999999999,67.86916863766048
spsa,100,100,1,-99.95,62.72,51.39999999999999,61.67017986120208
spsa,200,200,1,-115.23,65.26,36.11999999999999,67.86916863766048
