method,start,checkpoint,trained_games,recommendation_games,elo,error,gain,gain_error,wins,draws,losses,validation
logistic-gp,23,0,0,0,-151.35,63.49,0.0,0,17,25,58,9ac7311ae4e6ca3b
logistic-gp,23,50,50,50,-205.04,73.41,-53.69,97.4191007462787,16,15,69,90e2bfea05b4bfed
logistic-gp,23,100,100,100,-177.22,68.54,-25.870000000000005,105.403992388325,17,19,64,b6ce27ea4980add2
logistic-gp,23,200,200,200,-186.25,67.92,-34.900000000000006,86.20281170108792,15,21,64,deb0334e782896e8
maximin,23,0,0,0,-151.35,63.49,0.0,0,17,25,58,9ac7311ae4e6ca3b
maximin,23,50,50,50,-134.95,67.82,16.400000000000006,88.75618717811484,24,15,61,20cdbfb0460ffd26
maximin,23,100,100,100,-66.82,63.73,84.53,86.22682270825966,32,17,51,ded22a0ac1873a77
maximin,23,200,200,200,-164.07,67.06,-12.719999999999999,100.47727709498898,18,20,62,a054c854612c6e78
clop,23,0,0,0,-151.35,63.49,0.0,0,17,25,58,9ac7311ae4e6ca3b
clop,23,50,50,50,-99.95,62.72,51.39999999999999,71.90101111078458,25,22,53,ea109b58a255ede3
clop,23,100,100,100,-143.07,65.25,8.280000000000001,77.56886406981072,20,21,59,20951c343dc6f3b5
clop,23,200,200,200,-164.07,65.9,-12.719999999999999,80.74524355624122,17,22,61,5e5acce7e65287f9
spsa,23,0,0,0,-151.35,63.49,0.0,0,17,25,58,9ac7311ae4e6ca3b
spsa,23,50,50,50,-115.23,65.26,36.11999999999999,67.86916863766048,25,18,57,93f45ee14a1bdef5
spsa,23,100,100,100,-99.95,62.72,51.39999999999999,61.67017986120208,25,22,53,0d43112bf8e5f9b3
spsa,23,200,200,200,-115.23,65.26,36.11999999999999,67.86916863766048,25,18,57,93f45ee14a1bdef5
rbfopt,23,0,0,0,-151.35,63.49,0.0,0,17,25,58,9ac7311ae4e6ca3b
rbfopt,23,50,50,50,-134.95,63.77,16.400000000000006,90.22899249056134,20,23,57,6372d0fd318514f5
rbfopt,23,100,100,98,-134.95,63.77,16.400000000000006,90.22899249056134,20,23,57,6372d0fd318514f5
rbfopt,23,200,194,194,-134.95,63.77,16.400000000000006,90.22899249056134,20,23,57,6372d0fd318514f5
ctt-mes,23,0,0,0,-151.35,63.49,0.0,0,17,25,58,9ac7311ae4e6ca3b
ctt-mes,23,50,50,50,-288.06,83.56,-136.71,100.55895998368224,9,14,77,7e47ca41b251217b
ctt-mes,23,100,100,100,-85.04,64.78,66.30999999999999,103.65965696845639,30,16,54,347e179ae381f9cc
ctt-mes,23,200,200,200,-92.46,65.09,58.89,83.26395271869455,29,16,55,07d6a91c5bb2d0dd
