start,checkpoint,predicted_elo,predicted_error,heldout_elo,heldout_error
5,100,-29.681634390753803,17.039164089844306,-58.16071622239358,42.16948566863723
5,200,-24.134652184400746,13.876029423905322,-44.30357956490049,41.56939704751555
5,400,-16.860667901604753,8.001196182247346,-147.19071411783773,44.83756290814583
5,700,-20.180050753296104,5.0694000009614815,-91.91044720738304,47.44303282236339
5,1000,-21.710117565047522,4.557990607683157,-6.780091476226128,42.87376616625365
15,100,-14.940231423596051,20.664301521856608,-114.09429139229972,44.77082692103703
15,200,-20.411721347109328,15.736462004982462,-56.419404059585275,41.42631570195768
15,400,-24.02020671410053,9.062182284131689,-52.945101875002784,41.13329649428922
15,700,-20.516016199632553,5.244660753914097,-3.3897230174820083,41.49836936863811
15,1000,-20.963867616436648,3.729500681398373,-11.868268266888148,42.54644147065865
23,100,-48.99151873661834,14.638960533178558,-108.47008955980537,44.68120232247789
23,200,-37.21435369376314,12.887587469179929,-101.0553654966327,46.06016064310526
23,400,-40.58411115482191,9.981813849882224,-102.9004284341576,43.574907635016544
23,700,-38.64630546432845,5.11528713817639,-47.753061865684984,44.132690132838675
23,1000,-37.84238522922067,3.82111823010622,-99.21583036991524,45.906502176958355
