method,start,checkpoint,trained_games,recommendation_games,elo,error,gain,gain_error,wins,draws,losses,validation
ctt-mes,5,0,0,0,-104.75114868073318,43.03087786104216,0.0,0,49,42,109,start-05
ctt-mes,5,100,100,100,-58.16071622239358,42.16948566863723,46.5904324583396,62.069884430939204,61,44,95,ctt-05-0100
ctt-mes,5,200,200,200,-44.30357956490049,41.56939704751555,60.44756911583269,62.86406804877705,66,42,92,ctt-05-0200
ctt-mes,5,400,400,400,-147.19071411783773,44.83756290814583,-42.43956543710455,58.69890232812338,41,36,123,ctt-05-0400
ctt-mes,5,700,700,700,-91.91044720738304,47.44303282236339,12.840701473350137,55.408848679589006,55,37,108,ctt-05-0700
ctt-mes,5,1000,1000,1000,-6.780091476226128,42.87376616625365,97.97105720450705,61.577311007566415,74,48,78,ctt-05-1000
ctt-mes,15,0,0,0,-127.45125123894513,46.1447502757899,0.0,0,46,36,118,start-15
ctt-mes,15,100,100,100,-114.09429139229972,44.77082692103703,13.35695984664541,60.65730591109508,48,39,113,ctt-15-0100
ctt-mes,15,200,200,200,-56.419404059585275,41.42631570195768,71.03184717935986,61.1719787124692,63,41,96,ctt-15-0200
ctt-mes,15,400,400,400,-52.945101875002784,41.13329649428922,74.50614936394234,56.68782211707452,61,47,92,ctt-15-0400
ctt-mes,15,700,700,700,-3.3897230174820083,41.49836936863811,124.06152822146312,62.968572012188226,79,40,81,ctt-15-0700
ctt-mes,15,1000,1000,1000,-11.868268266888148,42.54644147065865,115.58298297205698,60.03591231838686,78,37,85,ctt-15-1000
ctt-mes,23,0,0,0,-95.55283556605471,49.2642035748253,0.0,0,55,35,110,start-23
ctt-mes,23,100,100,100,-108.47008955980537,44.68120232247789,-12.917253993750663,57.96698863460715,52,34,114,ctt-23-0100
ctt-mes,23,200,200,200,-101.0553654966327,46.06016064310526,-5.5025299305779924,62.97201488580879,50,42,108,ctt-23-0200
ctt-mes,23,400,400,400,-102.9004284341576,43.574907635016544,-7.347592868102893,59.758491200693264,48,45,107,ctt-23-0400
ctt-mes,23,700,700,700,-47.753061865684984,44.132690132838675,47.79977370036973,63.38287998674364,64,44,92,ctt-23-0700
ctt-mes,23,1000,1000,1000,-99.21583036991524,45.906502176958355,-3.662994803860528,60.7679284747562,51,41,108,ctt-23-1000
spsa-r02,5,0,0,0,-104.75114868073318,43.03087786104216,0.0,0,49,42,109,start-05
spsa-r02,5,200,200,200,-3.3897230174820083,41.49836936863811,101.36142566325117,64.48854799510292,73,52,75,spsa-05-0200
spsa-r02,5,400,400,400,-13.565350910857932,38.813413192126504,91.18579776987525,56.25960939663382,67,58,75,spsa-05-0400
spsa-r02,15,0,0,0,-127.45125123894513,46.1447502757899,0.0,0,46,36,118,start-15
spsa-r02,15,200,200,200,-34.0043158833395,41.80800643931383,93.44693535560563,60.45802820841409,66,48,86,spsa-15-0200
spsa-r02,15,400,400,400,-5.084786206455193,40.01113411507023,122.36646503248994,61.21906853770506,78,41,81,spsa-15-0400
spsa-r02,23,0,0,0,-95.55283556605471,49.2642035748253,0.0,0,55,35,110,start-23
spsa-r02,23,200,200,200,-81.09738153084865,43.15661526026834,14.45545403520606,60.62780879657428,51,51,98,spsa-23-0200
spsa-r02,23,400,400,400,8.475719627975236,36.842299560177885,104.02855519402995,59.0357508530254,78,49,73,spsa-23-0400
spsa-r02,5,100,100,100,-29.6,43.28,75.15114868073317,60.059812662774036,71,41,88,3a54cc9f38ba1ce6
spsa-r02,15,100,100,100,-45.42,43.86,82.03125123894513,60.64557958040565,68,38,94,dbb49afd747c5aed
spsa-r02,23,100,100,100,-121.06,45.15,-25.50716443394529,63.62162194645693,46,41,113,0837c8e59a35c080
spsa-r02,5,700,700,700,10.43,43.03,115.18114868073317,58.54868001008737,82,42,76,a89564e5e221958f
spsa-r02,15,700,700,700,-54.29,42.99,73.16125123894514,62.56748789072168,62,45,93,5a291f8bff5b9fd6
spsa-r02,23,700,700,700,19.13,42.37,114.6828355660547,57.70645584855288,82,47,71,aa5e8fe0216c9a78
spsa-r02,5,1000,1000,1000,1.74,43.43,106.49114868073318,62.10712279548503,81,39,80,b79976ca52446a86
spsa-r02,15,1000,1000,1000,-33.11,42.18,94.34125123894513,55.23368528222237,66,49,85,3aa67bda60a28792
spsa-r02,23,1000,1000,1000,8.69,41.77,104.24283556605471,57.02052726887365,77,51,72,4fe4c22b3f381fec
